HomeTeam,AwayTeam,Date,AVG_H_Close,AVG_D_Close,AVG_A_Close,league
Wolfsburg,VfB Stuttgart,2009-08-07,1.8977,3.4923,3.9031,Germany: Bundesliga
Auxerre,Sochaux,2009-08-08,2.0496,3.0676,3.8108,France: Ligue 1
Grenoble,Marseille,2009-08-08,5.0077,3.3435,1.7277,France: Ligue 1
Le Mans,Lyon,2009-08-08,3.895,3.1558,1.995,France: Ligue 1
Monaco,Toulouse,2009-08-08,2.4523,2.9731,3.0238,France: Ligue 1
Montpellier,Paris SG,2009-08-08,3.3992,3.0456,2.2004,France: Ligue 1
Rennes,Boulogne,2009-08-08,1.5016,3.7488,6.9592,France: Ligue 1
St Etienne,Nice,2009-08-08,1.9796,3.1142,3.9815,France: Ligue 1
Valenciennes,Nancy,2009-08-08,2.1729,3.0042,3.5288,France: Ligue 1
Hertha Berlin,Hannover,2009-08-08,1.8096,3.4462,4.3823,Germany: Bundesliga
Mainz,Bayer Leverkusen,2009-08-08,3.7548,3.4204,1.9504,Germany: Bundesliga
Nurnberg,Schalke,2009-08-08,3.1312,3.2681,2.2508,Germany: Bundesliga
Werder Bremen,Eintracht Frankfurt,2009-08-08,1.4046,4.3427,7.8523,Germany: Bundesliga
Hoffenheim,Bayern Munich,2009-08-08,3.6138,3.3523,2.0138,Germany: Bundesliga
Lille,Lorient,2009-08-09,1.6831,3.4104,5.3208,France: Ligue 1
Bordeaux,Lens,2009-08-09,1.4288,3.9392,8.0885,France: Ligue 1
Bochum,B. Monchengladbach,2009-08-09,2.0904,3.3435,3.4085,Germany: Bundesliga
Freiburg,Hamburger SV,2009-08-09,3.4161,3.3396,2.087,Germany: Bundesliga
Chelsea,Hull City,2009-08-15,1.1696,6.674,19.578,England: Premier League
Aston Villa,Wigan,2009-08-15,1.6916,3.506,5.2196,England: Premier League
Blackburn,Manchester City,2009-08-15,3.2033,3.2713,2.2258,England: Premier League
Bolton,Sunderland,2009-08-15,2.2452,3.2261,3.2074,England: Premier League
Portsmouth,Fulham,2009-08-15,2.7324,3.1936,2.5808,England: Premier League
Stoke City,Burnley,2009-08-15,1.9228,3.3136,4.0488,England: Premier League
Wolves,West Ham,2009-08-15,2.5332,3.2152,2.7784,England: Premier League
Everton,Arsenal,2009-08-15,3.1746,3.2115,2.2738,England: Premier League
Lens,Auxerre,2009-08-15,2.21,3.0042,3.4496,France: Ligue 1
Lorient,Montpellier,2009-08-15,1.8864,3.174,4.2984,France: Ligue 1
Lyon,Valenciennes,2009-08-15,1.2996,4.8468,10.118,France: Ligue 1
Nancy,Monaco,2009-08-15,2.1963,3.0063,3.4717,France: Ligue 1
Paris SG,Le Mans,2009-08-15,1.5877,3.5362,6.1331,France: Ligue 1
Sochaux,Bordeaux,2009-08-15,3.8571,3.1538,2.015,France: Ligue 1
Toulouse,St Etienne,2009-08-15,1.8156,3.2636,4.5956,France: Ligue 1
Bayer Leverkusen,Hoffenheim,2009-08-15,1.9921,3.4008,3.6808,Germany: Bundesliga
Bayern Munich,Werder Bremen,2009-08-15,1.5942,3.7831,5.6058,Germany: Bundesliga
Eintracht Frankfurt,Nurnberg,2009-08-15,2.0712,3.3204,3.4962,Germany: Bundesliga
Hamburger SV,Dortmund,2009-08-15,2.1135,3.2992,3.4012,Germany: Bundesliga
Hannover,Mainz,2009-08-15,1.8919,3.4123,4.0162,Germany: Bundesliga
VfB Stuttgart,Freiburg,2009-08-15,1.4645,4.0118,7.3041,Germany: Bundesliga
Manchester United,Birmingham,2009-08-16,1.1996,5.8219,15.1223,England: Premier League
Tottenham,Liverpool,2009-08-16,3.6162,3.2888,2.0577,England: Premier League
Boulogne,Grenoble,2009-08-16,2.3576,2.942,3.2056,France: Ligue 1
Nice,Rennes,2009-08-16,2.4827,2.9392,2.9885,France: Ligue 1
Marseille,Lille,2009-08-16,1.6462,3.4658,5.5015,France: Ligue 1
B. Monchengladbach,Hertha Berlin,2009-08-16,2.3404,3.2784,2.944,Germany: Bundesliga
Schalke,Bochum,2009-08-16,1.4528,4.0428,7.4692,Germany: Bundesliga
Sunderland,Chelsea,2009-08-18,6.4608,3.682,1.5616,England: Premier League
Wigan,Wolves,2009-08-18,1.6808,3.5636,5.2876,England: Premier League
Birmingham,Portsmouth,2009-08-19,2.0096,3.298,3.7472,England: Premier League
Burnley,Manchester United,2009-08-19,9.53,4.6868,1.33,England: Premier League
Hull City,Tottenham,2009-08-19,3.8127,3.3412,1.9673,England: Premier League
Liverpool,Stoke City,2009-08-19,1.2558,5.1454,12.5846,England: Premier League
Hoffenheim,Schalke,2009-08-21,2.4669,3.3081,2.7454,Germany: Bundesliga
Arsenal,Portsmouth,2009-08-22,1.1731,6.6531,17.0008,England: Premier League
Birmingham,Stoke City,2009-08-22,2.2158,3.2115,3.2946,England: Premier League
Hull City,Bolton,2009-08-22,2.4723,3.2065,2.8477,England: Premier League
Manchester City,Wolves,2009-08-22,1.3392,4.6473,9.3665,England: Premier League
Sunderland,Blackburn,2009-08-22,2.1208,3.2188,3.5115,England: Premier League
Wigan,Manchester United,2009-08-22,6.3385,3.7612,1.55,England: Premier League
Auxerre,Lyon,2009-08-22,4.0565,3.2458,1.9162,France: Ligue 1
Le Mans,Nancy,2009-08-22,2.3231,3.0023,3.2008,France: Ligue 1
Monaco,Lorient,2009-08-22,2.0285,3.115,3.8212,France: Ligue 1
Montpellier,Sochaux,2009-08-22,2.2504,3.0035,3.3562,France: Ligue 1
St Etienne,Boulogne,2009-08-22,1.7065,3.3281,5.3219,France: Ligue 1
Valenciennes,Paris SG,2009-08-22,3.5488,3.0192,2.1573,France: Ligue 1
Rennes,Marseille,2009-08-22,3.1738,3.0242,2.3281,France: Ligue 1
Dortmund,VfB Stuttgart,2009-08-22,2.2223,3.3023,3.1377,Germany: Bundesliga
Freiburg,Bayer Leverkusen,2009-08-22,3.3667,3.3288,2.1117,Germany: Bundesliga
Mainz,Bayern Munich,2009-08-22,7.0742,4.1388,1.4508,Germany: Bundesliga
Nurnberg,Hannover,2009-08-22,1.9604,3.3488,3.8092,Germany: Bundesliga
Bologna,Fiorentina,2009-08-22,3.5242,3.1535,2.1165,Italy: Serie A
Siena,AC Milan,2009-08-22,4.3876,3.2552,1.8644,Italy: Serie A
West Ham,Tottenham,2009-08-23,3.3565,3.2642,2.1569,England: Premier League
Burnley,Everton,2009-08-23,3.5319,3.2358,2.1027,England: Premier League
Fulham,Chelsea,2009-08-23,6.9088,3.7924,1.5152,England: Premier League
Bordeaux,Nice,2009-08-23,1.4269,3.9842,8.0292,France: Ligue 1
Grenoble,Lens,2009-08-23,2.4808,2.9315,3.0027,France: Ligue 1
Lille,Toulouse,2009-08-23,1.9873,3.1077,3.9823,France: Ligue 1
Bochum,Hertha Berlin,2009-08-23,2.3862,3.2692,2.8854,Germany: Bundesliga
