HomeTeam,AwayTeam,Date,Div,Season,FTR,AVG_H,AVG_D,AVG_A,league
Accrington,Aldershot,2010-08-07,E3,2010-2011,D,2.44,3.24,2.65,England: League Two
Burton,Oxford,2010-08-07,E3,2010-2011,D,2.28,3.26,2.88,England: League Two
Bury,Port Vale,2010-08-07,E3,2010-2011,A,2.21,3.24,3.01,England: League Two
Chesterfield,Barnet,2010-08-07,E3,2010-2011,H,1.64,3.51,5.09,England: League Two
Crewe,Hereford,2010-08-07,E3,2010-2011,A,1.87,3.36,3.79,England: League Two
Gillingham,Cheltenham,2010-08-07,E3,2010-2011,D,1.62,3.59,5.05,England: League Two
Rotherham,Lincoln,2010-08-07,E3,2010-2011,H,1.75,3.43,4.38,England: League Two
Shrewsbury,Bradford,2010-08-07,E3,2010-2011,H,2.31,3.24,2.85,England: League Two
Southend,Stockport,2010-08-07,E3,2010-2011,D,2.02,3.32,3.37,England: League Two
Stevenage,Macclesfield,2010-08-07,E3,2010-2011,D,1.87,3.36,3.81,England: League Two
Torquay,Northampton,2010-08-07,E3,2010-2011,H,2.27,3.24,2.91,England: League Two
Wycombe,Morecambe,2010-08-07,E3,2010-2011,H,1.9,3.31,3.81,England: League Two
Aldershot,Southend,2010-08-14,E3,2010-2011,H,2.05,3.28,3.39,England: League Two
Barnet,Burton,2010-08-14,E3,2010-2011,D,2.47,3.2,2.71,England: League Two
Bradford,Stevenage,2010-08-14,E3,2010-2011,H,1.95,3.26,3.74,England: League Two
Cheltenham,Crewe,2010-08-14,E3,2010-2011,H,2.39,3.25,2.78,England: League Two
Hereford,Gillingham,2010-08-14,E3,2010-2011,D,2.51,3.21,2.66,England: League Two
Lincoln,Torquay,2010-08-14,E3,2010-2011,A,2.5,3.19,2.68,England: League Two
Macclesfield,Shrewsbury,2010-08-14,E3,2010-2011,A,2.82,3.24,2.37,England: League Two
Morecambe,Rotherham,2010-08-14,E3,2010-2011,D,2.38,3.23,2.81,England: League Two
Northampton,Accrington,2010-08-14,E3,2010-2011,D,1.79,3.39,4.34,England: League Two
Oxford,Bury,2010-08-14,E3,2010-2011,A,2.01,3.25,3.56,England: League Two
Port Vale,Chesterfield,2010-08-14,E3,2010-2011,D,2.19,3.24,3.14,England: League Two
Stockport,Wycombe,2010-08-14,E3,2010-2011,D,3.1,3.28,2.19,England: League Two
Accrington,Macclesfield,2010-08-21,E3,2010-2011,H,2.12,3.24,3.29,England: League Two
Burton,Morecambe,2010-08-21,E3,2010-2011,H,2.21,3.26,3.07,England: League Two
Bury,Northampton,2010-08-21,E3,2010-2011,D,2.14,3.28,3.21,England: League Two
Chesterfield,Hereford,2010-08-21,E3,2010-2011,H,1.9,3.31,3.9,England: League Two
Crewe,Barnet,2010-08-21,E3,2010-2011,H,1.87,3.36,3.97,England: League Two
Gillingham,Lincoln,2010-08-21,E3,2010-2011,A,1.69,3.44,4.96,England: League Two
Rotherham,Cheltenham,2010-08-21,E3,2010-2011,H,1.77,3.39,4.47,England: League Two
Shrewsbury,Aldershot,2010-08-21,E3,2010-2011,D,1.98,3.29,3.62,England: League Two
Southend,Port Vale,2010-08-21,E3,2010-2011,A,2.49,3.21,2.68,England: League Two
Stevenage,Stockport,2010-08-21,E3,2010-2011,H,1.77,3.39,4.49,England: League Two
Torquay,Bradford,2010-08-21,E3,2010-2011,H,1.98,3.28,3.64,England: League Two
Wycombe,Oxford,2010-08-21,E3,2010-2011,D,1.91,3.32,3.84,England: League Two
Bradford,Southend,2010-08-27,E3,2010-2011,A,1.8,3.39,4.37,England: League Two
Aldershot,Stevenage,2010-08-28,E3,2010-2011,D,2.25,3.23,3.04,England: League Two
Barnet,Bury,2010-08-28,E3,2010-2011,D,2.77,3.26,2.4,England: League Two
Cheltenham,Burton,2010-08-28,E3,2010-2011,H,2.46,3.25,2.71,England: League Two
Hereford,Rotherham,2010-08-28,E3,2010-2011,A,2.59,3.21,2.58,England: League Two
